一 ichi "one; best"
教室 kyoushitsu "classroom; department, laboratory"
室内 shitsunai "indoor, inside the room"
狩り kari "hunting; harvesting (e.g. berries, fruit), picking, gathering"
狩猟 shuryou hunting
狩人 karyuudo hunter
首相 shushou "Prime Minister, Chancellor (Germany, Austria, etc.), Premier"
首 kubi "neck; head"
首都 shuto "capital city, metropolis"
拾い hiroi "picking up, someone who picks up things; type picking (letterpress printing)"
拾う hirou "to pick up, to find, to gather"
収拾 shuushuu "control, bringing under control, settling (a matter), putting in order"
秋 aki "autumn, fall"
秋風 akikaze "autumn breeze, fall breeze"
千秋楽 senshuuraku "concluding festivities, concluding program, concluding programme; final day of a tournament"
臭い kusai "stinking, smelly; suspicious, fishy"
臭 shuu "-smell, stinking of; smacking of, hinting of"
臭み kusami "bad smell; affectation, fulsomeness"
柔軟 juunan "flexible, lithe, soft, pliable"
柔らかい yawarakai "soft, tender, pliant, supple, limber, limp; gentle, mild, mellow"
柔らか yawaraka "soft, tender, limp, subdued (colour or light) (color), gentle, meek"
重要 juuyou "important, momentous, essential, principal, major"
重 e "-fold, -ply"
体重 taijuu "(body) weight"
お祝い oiwai "congratulation, congratulations, celebration, festival, congratulatory gift"
祝日 shukujitsu "national holiday, public holiday"
祝 hafuri "junior Shinto priest"
俊秀 shunshuu "genius, prodigy, talented person"
俊英 shun'ei "excellence, genius"
俊足 shunsoku "fast runner; swift horse, fleet steed"
春 haru "spring, springtime; New Year"
青春 seishun "youth, springtime of life, adolescent"
春風 harukaze "spring breeze"
矛盾 mujun "contradiction, inconsistency"
盾 tate "shield, buckler, escutcheon, pretext"
叙情 jojou "lyricism, description of one's feelings"
叙述 jojutsu description
叙景 jokei "scenery, description"
昭和 shouwa "Shōwa era (December 25, 1926-January 7, 1989), Showa era"
乗り nori "riding, ride; spread (of paints)"
乗る noru "to get on (train, plane, bus, ship, etc.), to get in, to board, to take, to embark; to get on (e.g. a footstool), to step on, to jump on, to sit on, to mount"
乗り換え norikae "transfer (trains, buses, etc.), connection, connexion; switching (stock)"
城 shiro castle
平城 hirajiro "castle on the plains"
長城 choujou "great wall (of China), long wall"
浄化 jouka "purification; cleanup (e.g. of politics), purge"
洗浄 senjou "washing, cleansing, cleaning, laundering; cleansing (one's mind and body)"
浄水 jousui "clean water"
払拭 fusshoku "wiping out, sweeping away, eradicating, dispelling"
拭き fuki "cleaner, wiper, eraser, cloth; cleaning, wiping, polishing"
拭く fuku "to wipe, to dry"
食事 shokuji "meal, dinner; diet"
食べる taberu "to eat; to live on (e.g. a salary), to live off, to subsist on"
食 shoku "food, foodstuff; eating, appetite"
侵害 shingai "infringement, violation, invasion, encroachment, trespass"
侵入 shinnyuu "invasion, incursion, raid, aggression, intrusion, trespass, penetration"
侵略 shinryaku "aggression, invasion, raid"
通信 tsuushin "correspondence, communication, transmission, news, signal, telecommunications"
自信 jishin "self-confidence, confidence (in oneself)"
信頼 shinrai "reliance, trust, faith, confidence"
津波 tsunami "tsunami, tidal wave"
津 tsu "harbour, harbor, port; ferry"
興味津々 kyoumishinshin "very interesting, of absorbing interest, having a keen interest (in), being immensely curious (about)"
精神 seishin "mind, spirit, soul, heart, ethos; attitude, mentality, will, intention"
神 kami "god, deity, divinity, spirit, kami; incredible, fantastic, amazing"
神社 jinja "Shinto shrine"
甚大 jindai "very great, enormous, serious"
甚だ hanahada "very, greatly, exceedingly"
甚だしい hanahadashii "extreme, excessive, terrible, intense, severe, serious, tremendous, heavy (damage)"
総帥 sousui "commander-in-chief, leader, head of a group of companies"
元帥 gensui "(field) marshal, (fleet) admiral, general of the army"
統帥 tousui "supreme command, high command"
是非 zehi "certainly, without fail; right and wrong, pros and cons"
是 ze "righteousness, justice, right"
是非とも zehitomo "by all means (with sense of not taking ""no"" for an answer)"
政府 seifu "government, administration"
政治 seiji "politics, government"
政権 seiken "(political) administration, political power"
星 hoshi "star (usu. not including the Sun), planet (usu. not including Earth), heavenly body; star (glyph, symbol, shape)"
惑星 wakusei planet
衛星 eisei "(natural) satellite, moon; (artificial) satellite"
犠牲 gisei "sacrifice, victim, scapegoat; sacrifice (to the gods)"
省 shou "ministry, department; province (of China)"
反省 hansei "reflection, reconsideration, introspection, meditation, contemplation; regret, repentance, remorse, being sorry"
省略 shouryaku "omission, abbreviation, abridgment, abridgement"
窃盗 settou "theft, stealing, larceny"
剽窃 hyousetsu "plagiarism, piracy"
宣言 sengen "declaration, proclamation, announcement"
宣伝 senden "publicity, advertisement, advertising, propaganda"
宣告 senkoku "sentence, verdict, pronouncement"
専門 senmon "speciality, specialty, subject of study, expert, area of expertise"
専用 sen'you "exclusive use, personal use, dedicated; private (e.g. network)"
専攻 senkou "major subject, special study"
温泉 onsen "hot spring; onsen, hot spring resort, hot spring spa"
泉 izumi "spring, fountain"
源泉 gensen "source (of a spring, etc.); source (of payment, energy, knowledge, etc.), origin, wellspring"
浅い asai "shallow, superficial; slight (wound), light (sleep), pale (colour), inadequate (knowledge)"
浅はか asahaka "shallow, superficial, thoughtless, short-sighted, foolish, silly"
浅見 senken "shallow view, superficial idea"
洗濯 sentaku "washing, laundry; relaxing, taking a break"
洗う arau "to wash, to cleanse, to rinse; to inquire into, to investigate"
洗練 senren "polish, refinement"
汚染 osen "pollution, contamination"
感染 kansen "infection, contagion"
馴染み najimi "intimacy, friendship, familiarity"
前 zen "the last (i.e. immediately preceding) (e.g. ""the last mayor""), previous, one-time, former; pre- (e.g. ""premodern"")"
以前 izen "ago, since, before, previous"
名前 namae "name, full name; given name, first name"
祖母 sobo grandmother
祖父 sofu "grandfather; old man"
先祖 senzo ancestor
演奏 ensou "musical performance"
奏者 sousha "instrumentalist, player"
伴奏 bansou "(musical) accompaniment"
相手 aite "companion, partner, company; other party, addressee"
相当 soutou "corresponding to (in meaning, function, etc.), being equivalent to; appropriate, suitable, befitting, proportionate"
首相 shushou "Prime Minister, Chancellor (Germany, Austria, etc.), Premier"
荘 shou "manor, villa"
別荘 bessou "holiday house, vacation home, villa; prison, jail"
荘厳 sougon "solemn, sublime, grand, magnificent, impressive"
草 kusa "grass, weed, herb, thatch; not genuine, substandard"
煙草 tabako "tobacco, cigarette, cigaret, cigar; tobacco plant (Nicotiana tabacum)"
雑草 zassou weed
放送 housou "broadcast, broadcasting"
送信 soushin "transmission, sending"
送る okuru "to send (a thing), to dispatch, to despatch, to transmit; to take or escort (a person somewhere), to see off (a person)"
促進 sokushin "promotion, acceleration, encouragement, facilitation, spurring on"
促す unagasu "to urge, to encourage, to press, to prompt, to draw (attention to); to stimulate (e.g. growth), to hasten (e.g. development), to quicken, to accelerate, to promote"
催促 saisoku "pressing, urging, demanding, demand"
原則 gensoku "principle, general rule"
法則 housoku "law, rule"
規則 kisoku "rule, regulation"
俗 zoku "layman (esp. as opposed to a Buddhist monk), laity, man of the world, the world; local manners, modern customs"
世俗 sezoku "common customs, worldliness, vulgar, popular, the world, the common people; secularity"
風俗 fuuzoku "manners, customs; sex service, sex industry, sex-oriented entertainment"
耐久 taikyuu "endurance, persistence"
耐える taeru "to bear, to stand, to endure, to put up with; to support, to withstand, to resist, to brave"
忍耐 nintai "endurance, perseverance, patience"
期待 kitai "expectation, anticipation, hope"
待ち machi "waiting, waiting time; wait tile, tile which would complete one's hand"
待つ matsu "to wait; to await, to look forward to, to anticipate"
倦怠 kentai "languor, fatigue, weariness, boredom"
怠惰 taida "lazy, idle, indolent, slothful"
怠慢 taiman "negligence, neglect, carelessness, procrastination"
胎児 taiji "fetus, foetus, embryo, unborn child"
換骨奪胎 kankotsudattai "adaptation (e.g. of a poem or novel), rewriting, recasting, modification, rehashing"
胎動 taidou "quickening, foetal (fetal) movement, fomenting (trouble)"
退職 taishoku "retirement, resignation"
引退 intai retirement
撤退 tettai "evacuation, withdrawal, revocation, repeal, retreat"
簡単 kantan "simple, easy, uncomplicated; brief, quick, light"
単純 tanjun "simple, plain, uncomplicated, straightforward"
単に tanni "simply, merely, only, solely"
炭酸 tansan "carbonic acid"
炭水化物 tansuikabutsu carbohydrate
二酸化炭素 nisankatanso "carbon dioxide"
大胆 daitan "bold, daring, audacious"
落胆 rakutan "discouragement, despondency, dejection, disappointment"
魂胆 kontan "ulterior motive, plot, scheme; complicated circumstances, intricacies"
普段 fudan "usual, normal, everyday, habitual, ordinary; usually, normally, generally, habitually, always"
値段 nedan "price, cost"
段階 dankai "grade, level, stage, class, phase, steps, order, gradation"
お茶 ocha "tea (usu. green); tea break (at work)"
茶 cha "tea; tea plant (Camellia sinensis)"
紅茶 koucha "black tea"
昼 hiru "noon, midday; daytime"
お昼 ohiru "lunch; noon, midday"
昼間 hiruma "daytime, during the day, time from sunrise until sunset, diurnal period"
柱 hashira "pillar, post; support, prop, mainstay"
支柱 shichuu "prop, stay, support, brace, fulcrum"
電柱 denchuu "utility pole, power pole, telephone pole, telegraph pole, lightpole"
挑戦 chousen "challenge, defiance, dare, attempt, try"
挑む idomu "to challenge to (a fight, game, etc.), to throw down the gauntlet, to contend for; to tackle (e.g. a problem), to attempt, to go after (a prize, record, etc.)"
挑発 chouhatsu "provocation, stirring up, arousal, excitement, stimulation"
勅 choku "imperial decree, imperial edict"
勅使 chokushi "imperial envoy, imperial messenger"
勅撰 chokusen "compilation for the emperor, emperor's literary production"
珍しい mezurashii "unusual, rare, curious; new, novel"
珍 chin "rare; strange, odd, peculiar, curious"
珍重 chinchou "prizing, valuing highly, esteeming"
追加 tsuika "addition, supplement, appending, appendix"
追記 tsuiki "PS, postscript; appending, addition (esp. of data, information)"
追求 tsuikyuu "pursuit (of a goal, ideal, etc.), search, chase, seeking after"
亭 tei "arbor, arbour, bower, pavilion; suffix forming the final part of the pseudonyms of some writers and performers"
料亭 ryoutei ryotei
亭主 teishu "household head, master, host (e.g. of a tea gathering), innkeeper, owner (e.g. of an hotel); husband"
童貞 doutei "virginity (of a male), virgin; (Catholic) nun, sister"
貞 tei "firm adherence to one's principles; chastity (of a woman)"
貞治 jouji "Jōji era (of the Northern Court) (1362.9.23-1368.2.18), Teiji era"
帝国 teikoku "empire; imperial"
帝 mikado "emperor (of Japan), mikado; (the gates of an) imperial residence"
皇帝 koutei emperor
訂正 teisei "correction, revision, amendment"
改訂 kaitei "revision (of text), alteration, change"
点 chobo "dot, point, mark; gidayū musicians (in kabuki)"
時点 jiten "point in time, occasion"
視点 shiten "opinion, point of view, visual point"
度 tabi "time (three times, each time, etc.), times"
程度 teido "degree, amount, grade, standard, of the order of (following a number), about, approximately"
今度 kondo "this time, now; next time, another time, shortly, soon"
怒り ikari "anger, rage, fury, wrath, indignation"
怒る okoru "to get angry, to get mad; to tell someone off, to scold"
激怒 gekido "rage, indignation, exasperation"
逃げ nige "escape, getaway, evasion"
逃げる nigeru "to escape, to run away"
見逃し minogashi "overlooking; letting a good ball go by"
